0.0,2.8
2.8,2.9
2.9,3.0
3.0,3.2
3.2,4.7
4.7,5.4
5.4,5.9
5.9,6.6
6.6,6.8
6.8,7.0
7.0,7.8
7.8,8.1
8.1,8.6
8.6,9.4
9.4,9.9
9.9,10.1
10.1,10.2
10.2,11.0
11.0,11.3
11.3,11.5
11.5,11.7
11.7,11.9
11.9,12.8
12.8,12.9
12.9,13.5
13.5,13.7
13.7,14.1
14.1,14.9
14.9,15.6
15.6,15.9
15.9,16.7
16.7,16.9
16.9,17.3
17.3,17.6
17.6,17.8
17.8,17.9
17.9,18.5
18.5,18.7
18.7,19.4
19.4,19.8
19.8,20.0
20.0,20.3
20.3,20.4
20.4,24.0
24.0,24.2
24.2,24.3
24.3,24.9
24.9,25.2
25.2,25.3
25.3,25.4
25.4,25.9
25.9,26.0
26.0,26.6
26.6,27.3
27.3,28.1
28.1,28.4
28.4,28.8
28.8,29.0
29.0,29.3
29.3,31.6
31.6,31.9
31.9,33.0
33.0,33.2
33.2,33.3
33.3,33.5
33.5,34.0
34.0,34.4
34.4,35.5
35.5,35.6
35.6,37.0
37.0,37.9
37.9,38.3
38.3,38.5
38.5,38.6
38.6,38.8
38.8,39.2
39.2,40.3
40.3,40.4
40.4,40.9
40.9,42.1
42.1,42.3
42.3,42.8
42.8,44.3
44.3,44.6
44.6,44.8
44.8,45.0
45.0,45.3
45.3,46.7
46.7,48.7
48.7,49.5
49.5,49.7
50.7,50.7
50.7,50.9
50.9,51.2
51.2,52.1
52.1,52.2
52.2,53.2
53.2,53.5
53.5,54.0
54.0,54.1
